"Year","AphiaID","Species.Latin.Name","Area","Country","AMS.Catch.TLW.","BMS.Catch.TLW."
2018,105865,"Amblyraja radiata","27_14_B_2","GL",1.825,NA
2018,107649,"Pandalus borealis","27_1","GL",801.537,NA
2018,107649,"Pandalus borealis","27_2_B_2","GL",1.319,NA
2018,126417,"Clupea harengus","27_14_A","GL",268.725,NA
2018,126417,"Clupea harengus","27_14_B_2","GL",70,NA
2018,126417,"Clupea harengus","27_2_A_1","GL",91.396,NA
2018,126417,"Clupea harengus","27_2_A_2","GL",2460,NA
2018,126436,"Gadus morhua","27_1","GL",2185.67,NA
2018,126436,"Gadus morhua","27_14_A","GL",66.695,NA
2018,126436,"Gadus morhua","27_14_B_2","GL",8342.87,NA
2018,126436,"Gadus morhua","27_2_A_1","GL",2.139,NA
2018,126436,"Gadus morhua","27_2_A_2","GL",4747.63,NA
2018,126436,"Gadus morhua","27_2_B_2","GL",1217.51,NA
2018,126437,"Melanogrammus aeglefinus","27_1","GL",266.438,NA
2018,126437,"Melanogrammus aeglefinus","27_14_A","GL",8.252,NA
2018,126437,"Melanogrammus aeglefinus","27_14_B_2","GL",2.564,NA
2018,126437,"Melanogrammus aeglefinus","27_2_A_2","GL",780.265,NA
2018,126437,"Melanogrammus aeglefinus","27_2_B_2","GL",122.468,NA
2018,126439,"Micromesistius poutassou","27_14_A","GL",3.052,NA
2018,126439,"Micromesistius poutassou","27_2_A_1","GL",104.938,NA
2018,126439,"Micromesistius poutassou","27_2_A_2","GL",2077.56,NA
2018,126439,"Micromesistius poutassou","27_4_A","GL",1475,NA
2018,126439,"Micromesistius poutassou","27_5_A_2","GL",200,NA
2018,126439,"Micromesistius poutassou","27_5_B_1_B","GL",10752.8,NA
2018,126439,"Micromesistius poutassou","27_5_B_2","GL",5658.7,NA
2018,126439,"Micromesistius poutassou","27_6_A","GL",2995.42,NA
2018,126441,"Pollachius virens","27_1","GL",52.365,NA
2018,126441,"Pollachius virens","27_14_A","GL",0.4,NA
2018,126441,"Pollachius virens","27_14_B_2","GL",6.405,NA
2018,126441,"Pollachius virens","27_2_A_2","GL",394.252,NA
2018,126441,"Pollachius virens","27_2_B_2","GL",1.393,NA
2018,126441,"Pollachius virens","27_5_B_1_B","GL",0.6,NA
2018,126447,"Brosme brosme","27_14_B_2","GL",108.421,NA
2018,126447,"Brosme brosme","27_2_A_2","GL",0.54,NA
2018,126459,"Molva dypterygia","27_1","GL",15.977,NA
2018,126461,"Molva molva","27_14_B_2","GL",0.537,NA
2018,126461,"Molva molva","27_2_A_2","GL",1.32,NA
2018,126735,"Mallotus villosus","27_1","GL",3.728,NA
2018,126735,"Mallotus villosus","27_2_A_2","GL",530,NA
2018,126735,"Mallotus villosus","27_5_A_2","GL",10882.2,NA
2018,127023,"Scomber scombrus","27_14_A","GL",109.883,NA
2018,127023,"Scomber scombrus","27_14_B_2","GL",53134.7,NA
2018,127023,"Scomber scombrus","27_2_A_1","GL",10519.7,NA
2018,127023,"Scomber scombrus","27_5_B_1_B","GL",2,NA
2018,127139,"Limanda limanda","27_1","GL",0.934,NA
2018,127141,"Platichthys flesus","27_1","GL",0.25,NA
2018,127143,"Pleuronectes platessa","27_1","GL",0.182,NA
2018,127143,"Pleuronectes platessa","27_2_B_2","GL",0.404,NA
2018,127144,"Reinhardtius hippoglossoides","27_1","GL",1.646,NA
2018,127144,"Reinhardtius hippoglossoides","27_14_A","GL",2.512,NA
2018,127144,"Reinhardtius hippoglossoides","27_14_B_2","GL",2967.56,NA
2018,127144,"Reinhardtius hippoglossoides","27_2_A_2","GL",21.278,NA
2018,127144,"Reinhardtius hippoglossoides","27_2_B_2","GL",9.268,NA
2018,127254,"Sebastes mentella","27_1","GL",25.747,NA
2018,127254,"Sebastes mentella","27_14_B_2","GL",1405.92,NA
2018,127254,"Sebastes mentella","27_2_A_2","GL",50.658,NA
2018,127254,"Sebastes mentella","27_2_B_2","GL",5.754,NA
2018,158960,"Coryphaenoides rupestris","27_14_B_2","GL",29.818,NA
2018,126175,"Sebastes","27_14_B_2","GL",2.242,NA
2018,151324,"Sebastes norvegicus","27_1","GL",28.841,NA
2018,151324,"Sebastes norvegicus","27_14_A","GL",1.165,NA
2018,151324,"Sebastes norvegicus","27_14_B_2","GL",1854.09,NA
2018,151324,"Sebastes norvegicus","27_2_A_2","GL",42.518,NA
