"FisheriesGuild","StockKeyLabel","StockKeyDescription"
"benthic","ank.27.78abd","Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)"
"demersal","bli.27.5b67","Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)"
"pelagic","boc.27.6-8","Boarfish (Capros aper) in subareas 6-8 (Celtic Seas, English Channel, and Bay of Biscay) "
"demersal","bss.27.4bc7ad-h","Seabass (Dicentrarchus labrax) in Divisions 4.b-c, 7.a, and 7.d-h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)"
"demersal","cod.27.6a","Cod (Gadus morhua) in Division 6.a (West of Scotland)"
"demersal","cod.27.7a","Cod (Gadus morhua) in Division 7.a (Irish Sea)"
"demersal","cod.27.7e-k","Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas)"
"elasmobranch","dgs.27.nea","Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"
"demersal","ghl.27.561214","Greenland halibut (Reinhardtius hippoglossoides) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)"
"demersal","had.27.46a20","Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a, and Subdivision 20  (North Sea, West of Scotland, Skagerrak) "
"demersal","had.27.6b","Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall)"
"demersal","had.27.7a","Haddock (Melanogrammus aeglefinus) in Division 7.a (Irish Sea)"
"demersal","had.27.7b-k","Haddock (Melanogrammus aeglefinus) in Divisions 7.b-k (southern Celtic Seas and English Channel)"
"pelagic","her.27.6a7bc","Herring (Clupea harengus) in divisions 6.a and 7.b-c (West of Scotland, West of Ireland)"
"pelagic","her.27.irls","Herring (Clupea harengus) in divisions 7.a South of 52°30’N, 7.g-h, and 7.j-k (Irish Sea, Celtic Sea, and southwest of Ireland)"
"pelagic","her.27.nirs","Herring (Clupea harengus) in Division 7.a North of 52°30’N (Irish Sea)"
