Variable,Color,Metric,Value,sum,fraction
D3C1,GREEN,Number of stocks,31,103,1007082.55339806
D3C1,GREY,Number of stocks,58,103,1884218.97087379
D3C1,RED,Number of stocks,14,103,454811.475728155
D3C2,GREEN,Number of stocks,27,103,877136.417475728
D3C2,GREY,Number of stocks,61,103,1981678.57281553
D3C2,RED,Number of stocks,15,103,487298.009708738
D3C1,GREEN,Proportion of catch 
(thousand tonnes),325274,3346113,325274
D3C1,GREY,Proportion of catch 
(thousand tonnes),82216,3346113,82216
D3C1,RED,Proportion of catch 
(thousand tonnes),2938623,3346113,2938623
D3C2,GREEN,Proportion of catch 
(thousand tonnes),3091527,3346113,3091527
D3C2,GREY,Proportion of catch 
(thousand tonnes),129456,3346113,129456
D3C2,RED,Proportion of catch 
(thousand tonnes),125130,3346113,125130
