type_var,year,typeTotal
France,2009,371.695543146115
France,2010,360.2565356725
France,2011,366.032515040557
France,2012,379.200062976945
France,2013,390.362718068054
France,2014,371.211973312222
France,2015,381.83998674861
France,2016,385.629782592498
France,2017,402.010209807498
France,2018,394.69625287889
Ireland,2009,189.276906576999
Ireland,2010,219.794763476999
Ireland,2011,207.868084011834
Ireland,2012,231.272006084666
Ireland,2013,221.488896156667
Ireland,2014,228.6961954895
Ireland,2015,226.799819152333
Ireland,2016,244.832125267001
Ireland,2017,231.831173575
Ireland,2018,227.889900805337
Netherlands,2009,91.5605217333329
Netherlands,2010,110.05335495
Netherlands,2011,81.5578319000009
Netherlands,2012,104.322688408333
Netherlands,2013,94.4985273666667
Netherlands,2014,65.8166324750002
Netherlands,2015,67.8723188333329
Netherlands,2016,89.6422576666663
Netherlands,2017,43.2877313333334
Netherlands,2018,68.2826344333328
Spain,2009,203.255907593677
Spain,2010,186.437450284149
Spain,2011,173.745311206647
Spain,2012,129.439727255663
Spain,2013,113.390228990988
Spain,2014,97.2821240431724
Spain,2015,95.6206572374982
Spain,2016,99.9502947388382
Spain,2017,107.846188203157
Spain,2018,105.028476520997
UK,2009,270.36166987438
UK,2010,256.353961730089
UK,2011,249.055763013243
UK,2012,245.981089682318
UK,2013,231.21899565369
UK,2014,259.596570770993
UK,2015,247.388709212
UK,2016,248.068771041001
UK,2017,221.0752162828
UK,2018,249.617311408842
UK,2019,1.25013928508
other,2009,99.0658419589744
other,2010,115.184681316666
other,2011,158.435741955725
other,2012,176.106911037655
other,2013,189.244106212466
other,2014,191.41872459303
other,2015,187.780985762149
other,2016,174.605823880479
other,2017,205.386172318223
other,2018,102.866744041533
