type_var,year,typeTotal
Beam trawls,2009,7875.7636660425
Beam trawls,2010,9005.93207546161
Beam trawls,2011,10845.1647863748
Beam trawls,2012,12911.5128568913
Beam trawls,2013,12117.3902124793
Beam trawls,2014,10717.1288562035
Beam trawls,2015,12314.145567914
Beam trawls,2016,12440.8375091248
Beam trawls,2017,12136.1306989619
Beam trawls,2018,13042.0255161074
Beam trawls,2019,54.27754
Bottom otter trawls,2009,37143348.3288259
Bottom otter trawls,2010,31610311.5293194
Bottom otter trawls,2011,27841219.3058498
Bottom otter trawls,2012,19570175.4586642
Bottom otter trawls,2013,31110006.947818
Bottom otter trawls,2014,23053222.8323336
Bottom otter trawls,2015,6513825.93647709
Bottom otter trawls,2016,5791249.15156616
Bottom otter trawls,2017,6321405.24171484
Bottom otter trawls,2018,12109025.5613549
Bottom otter trawls,2019,253.881434130923
Bottom seines,2009,4191.58954790104
Bottom seines,2010,5129.15393011011
Bottom seines,2011,6991.58607268806
Bottom seines,2012,9279.7696376584
Bottom seines,2013,8333.16333323557
Bottom seines,2014,7287.32147336069
Bottom seines,2015,6879.57078868785
Bottom seines,2016,7697.96678895584
Bottom seines,2017,7545.50272899143
Bottom seines,2018,7364.77135255986
Bottom seines,2019,2.92482
Dredges,2009,14031.8467602975
Dredges,2010,14558.5391747253
Dredges,2011,18855.9242518079
Dredges,2012,20260.3892035461
Dredges,2013,16940.738159121
Dredges,2014,14375.1882852693
Dredges,2015,15309.7458738178
Dredges,2016,13874.1605206332
Dredges,2017,7977.41425402585
Dredges,2018,7556.81267013075
Dredges,2019,0.6994
Pelagic trawls and seines,2009,486422.925669615
Pelagic trawls and seines,2010,784574.785682531
Pelagic trawls and seines,2011,822899.290879265
Pelagic trawls and seines,2012,631966.085913775
Pelagic trawls and seines,2013,625694.41346059
Pelagic trawls and seines,2014,812605.879932995
Pelagic trawls and seines,2015,721373.344096931
Pelagic trawls and seines,2016,694559.686273126
Pelagic trawls and seines,2017,724678.854463063
Pelagic trawls and seines,2018,756159.136270908
Static gears,2009,33503438.6513044
Static gears,2010,32156359.6619871
Static gears,2011,27799102.2726486
Static gears,2012,19885518.8239795
Static gears,2013,39093602.7358866
Static gears,2014,44007252.9249527
Static gears,2015,13146785.7063302
Static gears,2016,12042384.6920942
Static gears,2017,13276627.3340843
Static gears,2018,29707616.8823187
Static gears,2019,122.1086
other,2009,5586.31440150281
other,2010,5639.74680380628
other,2011,8938.63300237237
other,2012,5835.97886469458
other,2013,715.875665656565
other,2014,6063.31933798135
other,2015,1778.64121376812
other,2016,4368.25223630333
other,2017,1168.10595071309
other,2018,377.941087329851
