"","StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"1","agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"2","agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"3","alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2018,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"4","alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2018,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"5","anf.27.3a46","Anglerfish in Subareas 4 and 6, and Division 3.a","Lophius budegassa, Lophius piscatorius","Anglerfish","Benthic","3.2",2019,"PA","Maximum sustainable yield","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"6","anf.27.3a46","Anglerfish in Subareas 4 and 6, and Division 3.a","Lophius budegassa, Lophius piscatorius","Anglerfish","Benthic","3.2",2019,"PA","Precautionary approach","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"7","ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2019,"PA","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"8","ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2019,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"9","aru.27.5b6a","Greater silver smelt in divisions 5.b and 6.a","Argentina silus","Greater silver smelt","Pelagic","3.2",2019,"PA","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion, Faroes Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"10","aru.27.5b6a","Greater silver smelt in divisions 5.b and 6.a","Argentina silus","Greater silver smelt","Pelagic","3.2",2019,"PA","Precautionary approach","GREEN","Celtic Seas Ecoregion, Faroes Ecoregion","GREY","GREY","GREEN","GREY","GREY"
